i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
25,2025-07-21T17:57:00+00:00,buy,1.16965,1.16925,1.17085,0.00027,3.0,3.69,11.08,195.82,TP
26,2025-07-21T17:58:00+00:00,buy,1.16963,1.16924,1.1708,0.00026,3.0,3.92,11.75,207.57,TP
27,2025-07-21T18:00:00+00:00,buy,1.16977,1.16939,1.17092,0.00026,3.0,4.15,12.45,220.02,TP
28,2025-07-21T18:04:00+00:00,buy,1.17015,1.16976,1.17131,0.00026,3.0,4.4,13.2,233.22,TP
29,2025-07-21T18:22:00+00:00,buy,1.17136,1.17092,1.17267,0.00029,-1.0,4.66,-4.66,228.56,SL
30,2025-07-22T11:32:00+00:00,buy,1.16955,1.16932,1.17024,0.00015,3.0,4.57,13.71,242.27,TP
31,2025-07-22T11:33:00+00:00,buy,1.16958,1.16935,1.17028,0.00015,3.0,4.85,14.54,256.81,TP
32,2025-07-22T11:37:00+00:00,buy,1.16973,1.16948,1.17048,0.00017,-1.0,5.14,-5.14,251.67,SL
33,2025-07-22T11:38:00+00:00,buy,1.17015,1.16986,1.17103,0.00019,-1.0,5.03,-5.03,246.64,SL
34,2025-07-22T11:39:00+00:00,buy,1.1701,1.16981,1.17096,0.00019,-1.0,4.93,-4.93,241.7,SL
35,2025-07-22T12:02:00+00:00,buy,1.1702,1.16995,1.17094,0.00016,-1.0,4.83,-4.83,236.87,SL
36,2025-07-22T12:49:00+00:00,buy,1.17006,1.16987,1.17062,0.00012,3.0,4.74,14.21,251.08,TP
37,2025-07-22T12:50:00+00:00,buy,1.1701,1.16992,1.17065,0.00012,3.0,5.02,15.06,266.15,TP
38,2025-07-22T12:52:00+00:00,buy,1.17018,1.17001,1.1707,0.00012,3.0,5.32,15.97,282.11,TP
39,2025-07-22T12:53:00+00:00,buy,1.1703,1.17012,1.17085,0.00012,3.0,5.64,16.93,299.04,TP
40,2025-07-22T12:58:00+00:00,buy,1.17058,1.17039,1.17115,0.00013,-1.0,5.98,-5.98,293.06,SL
41,2025-07-22T13:03:00+00:00,buy,1.17069,1.17049,1.1713,0.00014,-1.0,5.86,-5.86,287.2,SL
42,2025-07-22T13:04:00+00:00,buy,1.17075,1.17054,1.17138,0.00014,-1.0,5.74,-5.74,281.46,SL
43,2025-07-22T17:46:00+00:00,buy,1.1706,1.17023,1.17172,0.00025,3.0,5.63,16.89,298.34,TP
44,2025-07-22T17:47:00+00:00,buy,1.1708,1.17043,1.17192,0.00025,3.0,5.97,17.9,316.24,TP
45,2025-07-22T17:48:00+00:00,buy,1.1713,1.17089,1.17254,0.00028,3.0,6.32,18.97,335.22,TP
46,2025-07-22T17:49:00+00:00,buy,1.17136,1.17095,1.1726,0.00027,3.0,6.7,20.11,355.33,TP
47,2025-07-22T17:50:00+00:00,buy,1.17167,1.17125,1.17293,0.00028,3.0,7.11,21.32,376.65,TP
48,2025-07-22T17:51:00+00:00,buy,1.17158,1.17117,1.17282,0.00028,3.0,7.53,22.6,399.25,TP
49,2025-07-22T17:53:00+00:00,buy,1.17184,1.17143,1.17308,0.00028,3.0,7.99,23.96,423.21,TP
50,2025-07-22T17:54:00+00:00,buy,1.1724,1.17195,1.17375,0.0003,-1.0,8.46,-8.46,414.74,SL
51,2025-07-22T18:37:00+00:00,buy,1.17452,1.17409,1.1758,0.00028,-1.0,8.29,-8.29,406.45,SL
52,2025-07-22T18:38:00+00:00,buy,1.17448,1.17406,1.17575,0.00028,-1.0,8.13,-8.13,398.32,SL
53,2025-07-22T18:56:00+00:00,buy,1.17456,1.1742,1.17565,0.00024,3.0,7.97,23.9,422.22,TP
54,2025-07-22T18:57:00+00:00,buy,1.17453,1.17418,1.17559,0.00024,3.0,8.44,25.33,447.55,TP
55,2025-07-22T18:58:00+00:00,buy,1.17471,1.17436,1.17576,0.00023,3.0,8.95,26.85,474.4,TP
56,2025-07-22T18:59:00+00:00,buy,1.17474,1.1744,1.17576,0.00023,3.0,9.49,28.46,502.87,TP
57,2025-07-22T19:02:00+00:00,buy,1.17476,1.17442,1.17579,0.00023,3.0,10.06,30.17,533.04,TP
58,2025-07-22T19:07:00+00:00,buy,1.1758,1.17542,1.17694,0.00025,-1.0,10.66,-10.66,522.38,SL
59,2025-07-22T19:08:00+00:00,buy,1.17586,1.17548,1.17699,0.00025,-1.0,10.45,-10.45,511.93,SL
60,2025-07-22T19:10:00+00:00,buy,1.17575,1.17536,1.17692,0.00026,-1.0,10.24,-10.24,501.69,SL
61,2025-07-23T02:03:00+00:00,buy,1.17489,1.1748,1.17517,6e-05,-1.0,10.03,-10.03,491.66,SL
62,2025-07-23T02:13:00+00:00,buy,1.17522,1.17508,1.17564,9e-05,-1.0,9.83,-9.83,481.82,SL
63,2025-07-23T02:14:00+00:00,buy,1.1755,1.17533,1.17601,0.00011,-1.0,9.64,-9.64,472.19,SL
64,2025-07-23T02:15:00+00:00,buy,1.17545,1.17527,1.17598,0.00012,-1.0,9.44,-9.44,462.74,SL
65,2025-07-23T02:16:00+00:00,buy,1.17542,1.17525,1.17594,0.00012,-1.0,9.25,-9.25,453.49,SL
66,2025-07-23T10:01:00+00:00,buy,1.17432,1.17405,1.17513,0.00018,-1.0,9.07,-9.07,444.42,SL
67,2025-07-23T10:02:00+00:00,buy,1.17433,1.17406,1.17513,0.00018,-1.0,8.89,-8.89,435.53,SL
68,2025-07-23T10:20:00+00:00,buy,1.17498,1.17468,1.17587,0.0002,-1.0,8.71,-8.71,426.82,SL
69,2025-07-23T18:16:00+00:00,buy,1.17408,1.17378,1.17498,0.0002,-1.0,8.54,-8.54,418.28,SL
70,2025-07-23T18:57:00+00:00,buy,1.17484,1.17417,1.17685,0.00045,3.0,8.37,25.1,443.38,TP
71,2025-07-23T21:02:00+00:00,buy,1.17617,1.17575,1.17743,0.00028,3.0,8.87,26.6,469.98,TP
72,2025-07-23T21:24:00+00:00,buy,1.17697,1.17672,1.17771,0.00016,-1.0,9.4,-9.4,460.58,SL
73,2025-07-23T21:29:00+00:00,buy,1.17718,1.17695,1.17788,0.00016,-1.0,9.21,-9.21,451.37,SL
74,2025-07-24T02:19:00+00:00,buy,1.1776,1.17751,1.17787,6e-05,-1.0,9.03,-9.03,442.35,SL
75,2025-07-24T02:20:00+00:00,buy,1.17762,1.17753,1.17789,6e-05,-1.0,8.85,-8.85,433.5,SL
76,2025-07-24T02:21:00+00:00,buy,1.1778,1.17769,1.17812,7e-05,-1.0,8.67,-8.67,424.83,SL
77,2025-07-24T06:05:00+00:00,buy,1.17778,1.17762,1.17827,0.00011,-1.0,8.5,-8.5,416.33,SL
78,2025-07-24T06:06:00+00:00,buy,1.17781,1.17765,1.1783,0.00011,-1.0,8.33,-8.33,408.01,SL
79,2025-07-24T06:10:00+00:00,buy,1.17783,1.17767,1.17832,0.00011,-1.0,8.16,-8.16,399.85,SL
80,2025-07-24T06:14:00+00:00,buy,1.17791,1.17776,1.17835,0.0001,-1.0,8.0,-8.0,391.85,SL
81,2025-07-24T06:41:00+00:00,buy,1.17789,1.17775,1.1783,9e-05,-1.0,7.84,-7.84,384.01,SL
82,2025-07-24T16:24:00+00:00,buy,1.17592,1.17529,1.17781,0.00042,3.0,7.68,23.04,407.05,TP
83,2025-07-24T16:28:00+00:00,buy,1.17692,1.17625,1.17893,0.00045,-1.0,8.14,-8.14,398.91,SL
84,2025-07-24T16:29:00+00:00,buy,1.177,1.17633,1.17902,0.00045,-1.0,7.98,-7.98,390.93,SL
85,2025-07-24T16:31:00+00:00,buy,1.17715,1.17645,1.17924,0.00047,-1.0,7.82,-7.82,383.11,SL
86,2025-07-24T16:53:00+00:00,buy,1.1775,1.17692,1.17925,0.00039,-1.0,7.66,-7.66,375.45,SL
87,2025-07-24T16:54:00+00:00,buy,1.17758,1.177,1.17931,0.00038,-1.0,7.51,-7.51,367.94,SL
88,2025-07-24T16:55:00+00:00,buy,1.17755,1.17699,1.17924,0.00038,-1.0,7.36,-7.36,360.58,SL
89,2025-07-24T17:02:00+00:00,buy,1.17799,1.17745,1.1796,0.00036,-1.0,7.21,-7.21,353.37,SL
90,2025-07-24T17:03:00+00:00,buy,1.17831,1.17776,1.17996,0.00037,-1.0,7.07,-7.07,346.3,SL
91,2025-07-24T17:05:00+00:00,buy,1.1784,1.17785,1.18006,0.00037,-1.0,6.93,-6.93,339.38,SL
92,2025-07-24T17:07:00+00:00,buy,1.1787,1.17812,1.18043,0.00038,-1.0,6.79,-6.79,332.59,SL
93,2025-07-24T17:40:00+00:00,buy,1.17784,1.17739,1.1792,0.0003,-1.0,6.65,-6.65,325.94,SL
94,2025-07-24T17:41:00+00:00,buy,1.17784,1.1774,1.17916,0.00029,-1.0,6.52,-6.52,319.42,SL
95,2025-07-25T09:30:00+00:00,buy,1.17494,1.17468,1.17571,0.00017,3.0,6.39,19.17,338.59,TP
96,2025-07-25T09:31:00+00:00,buy,1.17492,1.17467,1.17566,0.00017,3.0,6.77,20.32,358.9,TP
97,2025-07-25T09:34:00+00:00,buy,1.17564,1.17535,1.17652,0.0002,-1.0,7.18,-7.18,351.72,SL
98,2025-07-25T09:35:00+00:00,buy,1.1759,1.17559,1.17682,0.0002,-1.0,7.03,-7.03,344.69,SL
99,2025-07-25T09:36:00+00:00,buy,1.17595,1.17565,1.17685,0.0002,-1.0,6.89,-6.89,337.79,SL
100,2025-07-25T18:25:00+00:00,buy,1.17355,1.17325,1.17444,0.0002,-1.0,6.76,-6.76,331.04,SL
101,2025-07-25T18:28:00+00:00,buy,1.17364,1.17336,1.17448,0.00019,-1.0,6.62,-6.62,324.42,SL
102,2025-07-25T18:29:00+00:00,buy,1.17371,1.17343,1.17454,0.00018,-1.0,6.49,-6.49,317.93,SL
103,2025-07-25T21:28:00+00:00,buy,1.17392,1.1738,1.17428,8e-05,-1.0,6.36,-6.36,311.57,SL
104,2025-07-25T21:29:00+00:00,buy,1.17401,1.17388,1.1744,9e-05,-1.0,6.23,-6.23,305.34,SL
105,2025-07-25T21:30:00+00:00,buy,1.17404,1.17391,1.17442,8e-05,-1.0,6.11,-6.11,299.23,SL
106,2025-07-25T21:49:00+00:00,buy,1.17421,1.17407,1.17464,9e-05,3.0,5.98,17.95,317.19,TP
107,2025-07-25T21:50:00+00:00,buy,1.17434,1.17418,1.17481,0.0001,-1.0,6.34,-6.34,310.84,SL
108,2025-07-25T21:51:00+00:00,buy,1.17452,1.17434,1.17505,0.00012,-1.0,6.22,-6.22,304.63,SL
109,2025-07-25T21:52:00+00:00,buy,1.17445,1.17426,1.17501,0.00012,-1.0,6.09,-6.09,298.53,SL
110,2025-07-25T22:22:00+00:00,buy,1.1744,1.17428,1.17475,8e-05,-1.0,5.97,-5.97,292.56,SL
111,2025-07-25T22:23:00+00:00,buy,1.17449,1.17437,1.17485,8e-05,-1.0,5.85,-5.85,286.71,SL
112,2025-07-25T22:24:00+00:00,buy,1.17453,1.17441,1.17488,8e-05,-1.0,5.73,-5.73,280.98,SL
113,2025-07-25T22:25:00+00:00,buy,1.17454,1.17443,1.17487,7e-05,-1.0,5.62,-5.62,275.36,SL
114,2025-07-28T00:35:00+00:00,buy,1.17576,1.17547,1.17664,0.0002,3.0,5.51,16.52,291.88,TP
115,2025-07-28T00:37:00+00:00,buy,1.17601,1.17571,1.17691,0.0002,-1.0,5.84,-5.84,286.04,SL
116,2025-07-28T00:38:00+00:00,buy,1.17597,1.17567,1.17686,0.0002,-1.0,5.72,-5.72,280.32,SL
117,2025-07-29T03:49:00+00:00,sell,1.15894,1.1591,1.15847,0.0001,3.0,5.61,16.82,297.14,TP
118,2025-07-29T03:51:00+00:00,sell,1.15885,1.159,1.1584,0.0001,-1.0,5.94,-5.94,291.2,SL
119,2025-07-29T03:52:00+00:00,sell,1.15886,1.15902,1.15839,0.0001,-1.0,5.82,-5.82,285.37,SL
120,2025-07-29T03:53:00+00:00,sell,1.15882,1.15898,1.15834,0.00011,-1.0,5.71,-5.71,279.67,SL
121,2025-07-29T03:54:00+00:00,sell,1.15851,1.1587,1.15795,0.00012,-1.0,5.59,-5.59,274.07,SL
122,2025-07-29T03:55:00+00:00,sell,1.15856,1.15876,1.15796,0.00013,-1.0,5.48,-5.48,268.59,SL
123,2025-07-29T03:58:00+00:00,sell,1.15851,1.15871,1.15791,0.00013,-1.0,5.37,-5.37,263.22,SL
124,2025-07-29T03:59:00+00:00,sell,1.15846,1.15866,1.15786,0.00013,-1.0,5.26,-5.26,257.96,SL
125,2025-07-29T06:31:00+00:00,sell,1.15889,1.15902,1.1585,9e-05,3.0,5.16,15.48,273.43,TP
126,2025-07-29T06:32:00+00:00,sell,1.15865,1.1588,1.1582,0.0001,3.0,5.47,16.41,289.84,TP
127,2025-07-29T06:33:00+00:00,sell,1.15861,1.15876,1.15816,0.0001,3.0,5.8,17.39,307.23,TP
128,2025-07-29T06:34:00+00:00,sell,1.15864,1.15879,1.15819,0.0001,3.0,6.14,18.43,325.66,TP
129,2025-07-29T06:35:00+00:00,sell,1.15846,1.15862,1.15797,0.00011,3.0,6.51,19.54,345.2,TP
130,2025-07-29T06:36:00+00:00,sell,1.1582,1.15838,1.15765,0.00012,-1.0,6.9,-6.9,338.3,SL
131,2025-07-29T06:37:00+00:00,sell,1.15831,1.15851,1.15772,0.00013,-1.0,6.77,-6.77,331.53,SL
