time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-01-14T14:01:00+00:00,sell,1.02522,1.02517,1.0254,1.02448,0.00015,4.0,0.03,3.0,2.23,39.44,TP
2025-01-15T07:57:00+00:00,sell,1.02949,1.02944,1.0296,1.02896,0.00011,4.0,0.04,3.0,2.37,41.81,TP
2025-01-16T07:36:00+00:00,sell,1.02829,1.02824,1.02836,1.02788,8e-05,4.0,0.06,0.0,0.0,41.81,BE
2025-01-24T10:03:00+00:00,buy,1.04628,1.04633,1.04599,1.04734,0.00022,4.0,0.02,3.0,2.51,44.31,TP
2025-01-24T10:30:00+00:00,buy,1.04893,1.04898,1.04834,1.05089,0.00042,4.0,0.01,3.0,2.66,46.97,TP
2025-01-27T13:13:00+00:00,buy,1.05168,1.05173,1.05133,1.05292,0.00026,4.0,0.02,3.0,2.82,49.79,TP
2025-01-27T14:56:00+00:00,buy,1.05252,1.05257,1.0522,1.05368,0.00025,4.0,0.02,0.0,0.0,49.79,BE
2025-01-30T15:53:00+00:00,buy,1.04289,1.04294,1.04241,1.04454,0.00036,3.0,0.01,3.0,2.99,52.78,TP
2025-02-04T06:51:00+00:00,sell,1.03068,1.03063,1.03079,1.03014,0.00011,4.0,0.06,3.0,3.17,55.95,TP
2025-02-04T07:11:00+00:00,sell,1.02731,1.02726,1.02789,1.02537,0.00042,4.0,0.01,-1.0,-1.12,54.83,SL
2025-02-13T06:01:00+00:00,buy,1.0423,1.04235,1.04215,1.04296,0.00014,4.0,0.05,3.0,3.29,58.12,TP
2025-02-13T06:36:00+00:00,buy,1.04301,1.04306,1.04286,1.04366,0.00013,4.0,0.05,3.0,3.49,61.6,TP
2025-02-13T07:11:00+00:00,buy,1.0438,1.04385,1.04365,1.04445,0.00013,4.0,0.06,-1.0,-1.23,60.37,SL
2025-02-19T07:38:00+00:00,buy,1.04525,1.0453,1.04523,1.0455,5e-05,4.0,0.17,3.0,3.62,63.99,TP
2025-02-19T08:00:00+00:00,buy,1.04562,1.04567,1.04555,1.04603,8e-05,4.0,0.1,3.0,3.84,67.83,TP
2025-03-03T08:40:00+00:00,sell,1.04104,1.04099,1.04117,1.04044,0.00012,2.0,0.07,3.0,4.07,71.9,TP
2025-03-03T09:00:00+00:00,sell,1.04071,1.04066,1.04091,1.03992,0.00016,2.0,0.05,3.0,4.31,76.22,TP
2025-03-03T09:20:00+00:00,sell,1.0403,1.04025,1.04057,1.0393,0.00021,2.0,0.04,3.0,4.57,80.79,TP
2025-03-04T09:14:00+00:00,buy,1.04914,1.04919,1.04889,1.05008,0.0002,2.0,0.05,3.0,4.85,85.64,TP
2025-03-04T09:44:00+00:00,buy,1.04958,1.04963,1.04922,1.05086,0.00027,1.0,0.04,3.0,5.14,90.78,TP
2025-03-04T10:26:00+00:00,buy,1.05114,1.05119,1.05068,1.05272,0.00034,1.0,0.03,3.0,5.45,96.22,TP
2025-03-04T13:46:00+00:00,buy,1.05262,1.05267,1.05235,1.05362,0.00021,1.0,0.06,3.0,5.77,101.99,TP
2025-03-04T14:30:00+00:00,buy,1.05528,1.05533,1.05486,1.05675,0.00032,0.0,0.04,0.0,0.0,101.99,BE
2025-03-04T14:57:00+00:00,buy,1.05538,1.05543,1.05497,1.05682,0.00031,0.0,0.04,0.0,0.0,101.99,BE
2025-03-05T07:48:00+00:00,buy,1.06251,1.06256,1.06239,1.06308,0.00012,2.0,0.11,3.0,6.12,108.11,TP
2025-03-05T08:08:00+00:00,buy,1.06353,1.06358,1.06335,1.06428,0.00016,2.0,0.09,3.0,6.49,114.6,TP
2025-03-05T09:23:00+00:00,buy,1.06397,1.06402,1.06359,1.06531,0.00029,2.0,0.05,3.0,6.88,121.48,TP
