i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
18,2025-05-07T22:14:00+00:00,sell,1.13102,1.13178,1.12875,0.0005,-1.0,2.27,-2.27,111.31,SL
19,2025-05-07T22:15:00+00:00,sell,1.13093,1.13166,1.12873,0.00049,-1.0,2.23,-2.23,109.09,SL
20,2025-05-07T22:16:00+00:00,sell,1.13068,1.13141,1.12849,0.00049,-1.0,2.18,-2.18,106.91,SL
21,2025-05-07T22:42:00+00:00,sell,1.13024,1.13087,1.12834,0.00042,-1.0,2.14,-2.14,104.77,SL
22,2025-05-07T22:44:00+00:00,sell,1.13071,1.1314,1.12865,0.00046,-1.0,2.1,-2.1,102.67,SL
23,2025-05-07T23:15:00+00:00,sell,1.12925,1.12966,1.12802,0.00027,-1.0,2.05,-2.05,100.62,SL
24,2025-05-08T09:12:00+00:00,sell,1.12966,1.13005,1.12849,0.00026,3.0,2.01,6.04,106.66,TP
25,2025-05-08T09:13:00+00:00,sell,1.12962,1.13,1.12848,0.00025,3.0,2.13,6.4,113.06,TP
26,2025-05-08T09:14:00+00:00,sell,1.12954,1.12991,1.12844,0.00025,3.0,2.26,6.78,119.84,TP
27,2025-05-08T09:15:00+00:00,sell,1.12943,1.12981,1.12829,0.00025,3.0,2.4,7.19,127.03,TP
28,2025-05-08T09:16:00+00:00,sell,1.12896,1.12937,1.12774,0.00027,3.0,2.54,7.62,134.65,TP
29,2025-05-08T09:24:00+00:00,sell,1.12818,1.12858,1.12698,0.00027,-1.0,2.69,-2.69,131.96,SL
30,2025-05-08T09:25:00+00:00,sell,1.12818,1.12858,1.12699,0.00026,-1.0,2.64,-2.64,129.32,SL
31,2025-05-08T10:00:00+00:00,sell,1.12766,1.12807,1.12644,0.00027,-1.0,2.59,-2.59,126.73,SL
32,2025-05-08T10:01:00+00:00,sell,1.12746,1.12786,1.12625,0.00027,-1.0,2.53,-2.53,124.2,SL
33,2025-05-08T10:02:00+00:00,sell,1.12708,1.12751,1.1258,0.00029,-1.0,2.48,-2.48,121.71,SL
34,2025-05-08T10:06:00+00:00,sell,1.12736,1.12784,1.12592,0.00032,-1.0,2.43,-2.43,119.28,SL
35,2025-05-08T10:07:00+00:00,sell,1.12707,1.12756,1.1256,0.00033,-1.0,2.39,-2.39,116.89,SL
36,2025-05-08T18:21:00+00:00,sell,1.12703,1.12766,1.12515,0.00042,-1.0,2.34,-2.34,114.56,SL
37,2025-05-08T18:22:00+00:00,sell,1.12713,1.12776,1.12524,0.00042,-1.0,2.29,-2.29,112.26,SL
38,2025-05-08T18:23:00+00:00,sell,1.12709,1.12772,1.12519,0.00042,-1.0,2.25,-2.25,110.02,SL
39,2025-05-08T18:41:00+00:00,sell,1.12634,1.12704,1.12423,0.00047,3.0,2.2,6.6,116.62,TP
40,2025-05-08T18:46:00+00:00,sell,1.12541,1.12608,1.12339,0.00045,-1.0,2.33,-2.33,114.29,SL
