i,time_utc,time_lagos,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
26,2025-09-03T03:12:00+00:00,2025-09-03T04:12:00+01:00,sell,1.16298,1.16309,1.16265,7e-05,-1.0,SL,0.95,-0.95,93.87
27,2025-09-03T03:13:00+00:00,2025-09-03T04:13:00+01:00,sell,1.1629,1.16301,1.16256,8e-05,-1.0,SL,0.94,-0.94,92.93
28,2025-09-03T03:14:00+00:00,2025-09-03T04:14:00+01:00,sell,1.16288,1.163,1.16253,8e-05,-1.0,SL,0.93,-0.93,92.0
29,2025-09-03T03:20:00+00:00,2025-09-03T04:20:00+01:00,sell,1.16302,1.16315,1.16262,9e-05,-1.0,SL,0.92,-0.92,91.08
30,2025-09-03T07:02:00+00:00,2025-09-03T08:02:00+01:00,sell,1.16219,1.1623,1.16186,7e-05,-1.0,SL,0.91,-0.91,90.17
31,2025-09-03T10:16:00+00:00,2025-09-03T11:16:00+01:00,sell,1.16255,1.16282,1.16173,0.00018,3.0,TP,0.9,2.71,92.88
32,2025-09-03T10:17:00+00:00,2025-09-03T11:17:00+01:00,sell,1.16233,1.16262,1.16145,0.0002,3.0,TP,0.93,2.79,95.66
33,2025-09-03T10:18:00+00:00,2025-09-03T11:18:00+01:00,sell,1.16202,1.16235,1.16104,0.00022,3.0,TP,0.96,2.87,98.53
34,2025-09-03T10:19:00+00:00,2025-09-03T11:19:00+01:00,sell,1.16163,1.16198,1.16058,0.00023,-1.0,SL,0.99,-0.99,97.55
35,2025-09-03T10:20:00+00:00,2025-09-03T11:20:00+01:00,sell,1.16095,1.16136,1.15971,0.00028,-1.0,SL,0.98,-0.98,96.57
36,2025-09-03T10:21:00+00:00,2025-09-03T11:21:00+01:00,sell,1.16094,1.16135,1.15972,0.00027,-1.0,SL,0.97,-0.97,95.61
