i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
94,2025-08-13T09:38:00+00:00,buy,1.16905,1.16878,1.16987,0.00018,3.0,TP,1.02,3.05,104.65
95,2025-08-13T09:39:00+00:00,buy,1.16904,1.16876,1.16988,0.00019,3.0,TP,1.05,3.14,107.79
96,2025-08-13T09:40:00+00:00,buy,1.16927,1.16898,1.17014,0.00019,-1.0,SL,1.08,-1.08,106.72
97,2025-08-13T09:46:00+00:00,buy,1.1693,1.16902,1.17014,0.00019,3.0,TP,1.07,3.2,109.92
98,2025-08-13T09:55:00+00:00,buy,1.16951,1.16923,1.17036,0.00019,-1.0,SL,1.1,-1.1,108.82
99,2025-08-13T10:09:00+00:00,buy,1.16999,1.16969,1.17088,0.0002,3.0,TP,1.09,3.26,112.08
100,2025-08-13T10:10:00+00:00,buy,1.16982,1.16951,1.17074,0.0002,3.0,TP,1.12,3.36,115.45
101,2025-08-13T10:11:00+00:00,buy,1.16986,1.16956,1.17075,0.0002,3.0,TP,1.15,3.46,118.91
102,2025-08-13T10:12:00+00:00,buy,1.17013,1.16982,1.17106,0.00021,3.0,TP,1.19,3.57,122.48
103,2025-08-13T10:13:00+00:00,buy,1.17055,1.1702,1.1716,0.00023,3.0,TP,1.22,3.67,126.15
104,2025-08-13T10:14:00+00:00,buy,1.17093,1.17055,1.17206,0.00025,-1.0,SL,1.26,-1.26,124.89
105,2025-08-13T10:15:00+00:00,buy,1.17074,1.17036,1.17188,0.00025,3.0,TP,1.25,3.75,128.64
106,2025-08-13T11:17:00+00:00,buy,1.17141,1.17115,1.17219,0.00017,3.0,TP,1.29,3.86,132.5
107,2025-08-13T11:19:00+00:00,buy,1.17168,1.17141,1.17249,0.00018,-1.0,SL,1.32,-1.32,131.17
108,2025-08-13T11:21:00+00:00,buy,1.17184,1.17157,1.17264,0.00018,-1.0,SL,1.31,-1.31,129.86
109,2025-08-13T11:22:00+00:00,buy,1.17188,1.17162,1.17266,0.00017,-1.0,SL,1.3,-1.3,128.56
110,2025-08-13T12:18:00+00:00,buy,1.17219,1.17197,1.17285,0.00015,3.0,TP,1.29,3.86,132.42
111,2025-08-13T12:21:00+00:00,buy,1.1724,1.17219,1.17302,0.00014,-1.0,SL,1.32,-1.32,131.09
112,2025-08-13T12:22:00+00:00,buy,1.17248,1.17227,1.17311,0.00014,-1.0,SL,1.31,-1.31,129.78
113,2025-08-13T12:24:00+00:00,buy,1.17262,1.17241,1.17326,0.00014,-1.0,SL,1.3,-1.3,128.48
