i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
63,2025-08-12T04:39:00+00:00,buy,1.16224,1.16204,1.16283,0.00013,-1.0,SL,1.14,-1.14,112.68
64,2025-08-12T04:40:00+00:00,buy,1.16222,1.16202,1.16283,0.00014,-1.0,SL,1.13,-1.13,111.56
65,2025-08-12T04:43:00+00:00,buy,1.16246,1.16226,1.16306,0.00013,-1.0,SL,1.12,-1.12,110.44
66,2025-08-12T07:51:00+00:00,buy,1.16254,1.16238,1.16302,0.00011,-1.0,SL,1.1,-1.1,109.34
67,2025-08-12T07:52:00+00:00,buy,1.16258,1.16242,1.16305,0.0001,-1.0,SL,1.09,-1.09,108.24
68,2025-08-12T07:59:00+00:00,buy,1.16271,1.16257,1.16313,9e-05,-1.0,SL,1.08,-1.08,107.16
69,2025-08-12T08:00:00+00:00,buy,1.16278,1.16264,1.16321,0.0001,-1.0,SL,1.07,-1.07,106.09
70,2025-08-12T15:30:00+00:00,buy,1.16271,1.16192,1.16508,0.00053,3.0,TP,1.06,3.18,109.27
71,2025-08-12T15:31:00+00:00,buy,1.16405,1.16312,1.16685,0.00062,-1.0,SL,1.09,-1.09,108.18
72,2025-08-12T15:32:00+00:00,buy,1.16355,1.16254,1.16657,0.00067,-1.0,SL,1.08,-1.08,107.1
73,2025-08-12T15:34:00+00:00,buy,1.16403,1.16292,1.16735,0.00074,-1.0,SL,1.07,-1.07,106.03
74,2025-08-12T15:39:00+00:00,buy,1.16469,1.16347,1.16835,0.00081,-1.0,SL,1.06,-1.06,104.97
75,2025-08-12T15:41:00+00:00,buy,1.16549,1.16427,1.16915,0.00081,-1.0,SL,1.05,-1.05,103.92
76,2025-08-12T15:42:00+00:00,buy,1.16541,1.1642,1.16903,0.0008,-1.0,SL,1.04,-1.04,102.88
77,2025-08-12T16:44:00+00:00,buy,1.16594,1.16512,1.1684,0.00055,-1.0,SL,1.03,-1.03,101.85
78,2025-08-12T16:45:00+00:00,buy,1.16518,1.16422,1.16806,0.00064,-1.0,SL,1.02,-1.02,100.83
79,2025-08-12T16:46:00+00:00,buy,1.16584,1.16482,1.16889,0.00068,-1.0,SL,1.01,-1.01,99.82
80,2025-08-12T18:26:00+00:00,buy,1.16766,1.16732,1.16869,0.00023,3.0,TP,1.0,2.99,102.82
81,2025-08-12T18:27:00+00:00,buy,1.16832,1.16792,1.16951,0.00026,-1.0,SL,1.03,-1.03,101.79
82,2025-08-12T18:28:00+00:00,buy,1.16853,1.16812,1.16976,0.00027,-1.0,SL,1.02,-1.02,100.77
83,2025-08-12T18:29:00+00:00,buy,1.16849,1.16806,1.16977,0.00028,-1.0,SL,1.01,-1.01,99.76
84,2025-08-12T18:30:00+00:00,buy,1.16866,1.16821,1.17001,0.0003,-1.0,SL,1.0,-1.0,98.76
85,2025-08-13T02:44:00+00:00,buy,1.16785,1.16776,1.16813,6e-05,-1.0,SL,0.99,-0.99,97.78
86,2025-08-13T03:54:00+00:00,buy,1.1679,1.16775,1.16835,0.0001,-1.0,SL,0.98,-0.98,96.8
87,2025-08-13T03:55:00+00:00,buy,1.16782,1.16765,1.16832,0.00011,3.0,TP,0.97,2.9,99.7
88,2025-08-13T03:58:00+00:00,buy,1.168,1.16783,1.1685,0.00011,3.0,TP,1.0,2.99,102.69
89,2025-08-13T04:00:00+00:00,buy,1.16804,1.16787,1.16854,0.00011,3.0,TP,1.03,3.08,105.77
90,2025-08-13T04:01:00+00:00,buy,1.16829,1.1681,1.16885,0.00012,-1.0,SL,1.06,-1.06,104.72
91,2025-08-13T06:37:00+00:00,buy,1.16851,1.16836,1.16895,0.0001,-1.0,SL,1.05,-1.05,103.67
92,2025-08-13T06:39:00+00:00,buy,1.16854,1.1684,1.16896,9e-05,-1.0,SL,1.04,-1.04,102.63
93,2025-08-13T06:44:00+00:00,buy,1.1686,1.16846,1.16902,9e-05,-1.0,SL,1.03,-1.03,101.61
