i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
25,2025-09-09T02:22:00+00:00,buy,1.17712,1.17694,1.17765,0.00012,-1.0,SL,1.04,-1.04,102.63
26,2025-09-09T02:23:00+00:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,SL,1.03,-1.03,101.61
27,2025-09-09T02:24:00+00:00,buy,1.17725,1.17707,1.17779,0.00012,-1.0,SL,1.02,-1.02,100.59
28,2025-09-09T04:53:00+00:00,buy,1.1777,1.1775,1.1783,0.00013,-1.0,SL,1.01,-1.01,99.59
29,2025-09-09T04:54:00+00:00,buy,1.17761,1.17741,1.17822,0.00013,-1.0,SL,1.0,-1.0,98.59
30,2025-09-09T04:55:00+00:00,buy,1.17768,1.17748,1.17829,0.00014,-1.0,SL,0.99,-0.99,97.6
31,2025-09-09T08:53:00+00:00,buy,1.17779,1.17759,1.1784,0.00014,-1.0,SL,0.98,-0.98,96.63
32,2025-09-09T08:54:00+00:00,buy,1.17793,1.17771,1.17858,0.00015,-1.0,SL,0.97,-0.97,95.66
33,2025-09-09T08:55:00+00:00,buy,1.17794,1.17772,1.1786,0.00015,-1.0,SL,0.96,-0.96,94.71
34,2025-09-10T07:16:00+00:00,buy,1.17108,1.17094,1.17149,9e-05,-1.0,SL,0.95,-0.95,93.76
35,2025-09-10T07:25:00+00:00,buy,1.1712,1.17106,1.17162,9e-05,-1.0,SL,0.94,-0.94,92.82
36,2025-09-10T07:48:00+00:00,buy,1.17118,1.17104,1.17161,0.0001,-1.0,SL,0.93,-0.93,91.89
37,2025-09-10T07:52:00+00:00,buy,1.17125,1.1711,1.1717,0.0001,-1.0,SL,0.92,-0.92,90.97
38,2025-09-10T07:53:00+00:00,buy,1.17134,1.17118,1.17181,0.0001,-1.0,SL,0.91,-0.91,90.06
39,2025-09-10T07:58:00+00:00,buy,1.17143,1.17128,1.17187,0.0001,-1.0,SL,0.9,-0.9,89.16
40,2025-09-10T07:59:00+00:00,buy,1.17153,1.17138,1.17199,0.0001,-1.0,SL,0.89,-0.89,88.27
41,2025-09-10T08:06:00+00:00,buy,1.17152,1.17133,1.17209,0.00013,-1.0,SL,0.88,-0.88,87.39
42,2025-09-10T08:08:00+00:00,buy,1.17153,1.17134,1.17211,0.00013,-1.0,SL,0.87,-0.87,86.52
43,2025-09-11T15:31:00+00:00,buy,1.17138,1.17021,1.17488,0.00078,-1.0,SL,0.87,-0.87,85.65
44,2025-09-11T15:32:00+00:00,buy,1.17107,1.16987,1.17466,0.0008,-1.0,SL,0.86,-0.86,84.79
45,2025-09-11T15:33:00+00:00,buy,1.17106,1.16986,1.17467,0.0008,-1.0,SL,0.85,-0.85,83.95
46,2025-09-11T15:35:00+00:00,buy,1.17197,1.17081,1.17545,0.00077,-1.0,SL,0.84,-0.84,83.11
47,2025-09-11T15:56:00+00:00,buy,1.17154,1.17052,1.17459,0.00068,3.0,TP,0.83,2.49,85.6
48,2025-09-11T16:02:00+00:00,buy,1.17222,1.17128,1.17503,0.00062,0.0,timeout,0.86,0.0,85.6
49,2025-09-11T16:03:00+00:00,buy,1.17349,1.17247,1.17656,0.00068,-1.0,SL,0.86,-0.86,84.74
50,2025-09-11T16:05:00+00:00,buy,1.17346,1.17243,1.17654,0.00069,-1.0,SL,0.85,-0.85,83.9
51,2025-09-12T09:50:00+00:00,buy,1.17337,1.17311,1.17416,0.00018,3.0,TP,0.84,2.52,86.41
52,2025-09-12T09:55:00+00:00,buy,1.17379,1.17351,1.17462,0.00019,3.0,TP,0.86,2.59,89.01
53,2025-09-12T09:56:00+00:00,buy,1.17385,1.17357,1.17468,0.00019,3.0,TP,0.89,2.67,91.68
54,2025-09-12T09:57:00+00:00,buy,1.17399,1.17371,1.17482,0.00019,-1.0,SL,0.92,-0.92,90.76
55,2025-09-12T10:00:00+00:00,buy,1.17426,1.17395,1.17519,0.00021,-1.0,SL,0.91,-0.91,89.85
56,2025-09-12T10:01:00+00:00,buy,1.17435,1.17404,1.17528,0.00021,-1.0,SL,0.9,-0.9,88.95
57,2025-09-12T10:02:00+00:00,buy,1.17463,1.17429,1.17564,0.00022,-1.0,SL,0.89,-0.89,88.06
