i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
364,2025-08-19T14:19:00+01:00,buy,1.16852,1.16832,1.16911,0.00013,3.0,TP,143.75,1.44,4.31,148.06
365,2025-08-19T14:20:00+01:00,buy,1.16877,1.16855,1.16943,0.00015,-1.0,SL,148.06,1.48,-1.48,146.58
366,2025-08-19T14:22:00+01:00,buy,1.16873,1.1685,1.16941,0.00015,-1.0,SL,146.58,1.47,-1.47,145.11
367,2025-08-19T14:23:00+01:00,buy,1.16888,1.16865,1.16956,0.00015,-1.0,SL,145.11,1.45,-1.45,143.66
368,2025-08-19T14:26:00+01:00,buy,1.16913,1.16891,1.1698,0.00015,-1.0,SL,143.66,1.44,-1.44,142.23
369,2025-08-20T11:19:00+01:00,buy,1.1643,1.16398,1.16525,0.00021,-1.0,SL,142.23,1.42,-1.42,140.8
370,2025-08-20T11:20:00+01:00,buy,1.16431,1.16399,1.16528,0.00021,-1.0,SL,140.8,1.41,-1.41,139.4
371,2025-08-20T11:26:00+01:00,buy,1.16451,1.1642,1.16545,0.00021,-1.0,SL,139.4,1.39,-1.39,138.0
372,2025-08-20T11:57:00+01:00,buy,1.16434,1.16406,1.16517,0.00018,-1.0,SL,138.0,1.38,-1.38,136.62
373,2025-08-20T11:58:00+01:00,buy,1.16435,1.16408,1.16517,0.00018,-1.0,SL,136.62,1.37,-1.37,135.26
374,2025-08-20T11:59:00+01:00,buy,1.16443,1.16416,1.16524,0.00018,-1.0,SL,135.26,1.35,-1.35,133.9
375,2025-08-21T04:30:00+01:00,sell,1.16451,1.16467,1.16404,0.0001,-1.0,SL,133.9,1.34,-1.34,132.56
376,2025-08-21T04:42:00+01:00,sell,1.1643,1.16445,1.16386,0.0001,-1.0,SL,132.56,1.33,-1.33,131.24
377,2025-08-21T04:46:00+01:00,sell,1.16419,1.16434,1.16373,0.0001,-1.0,SL,131.24,1.31,-1.31,129.93
378,2025-08-21T10:20:00+01:00,sell,1.16413,1.16432,1.16356,0.00013,3.0,TP,129.93,1.3,3.9,133.82
379,2025-08-21T10:21:00+01:00,sell,1.16398,1.16417,1.1634,0.00013,3.0,TP,133.82,1.34,4.01,137.84
380,2025-08-21T10:22:00+01:00,sell,1.16366,1.1639,1.16295,0.00016,3.0,TP,137.84,1.38,4.14,141.97
381,2025-08-21T10:23:00+01:00,sell,1.16359,1.16383,1.16288,0.00016,3.0,TP,141.97,1.42,4.26,146.23
