i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
39,2025-07-29T10:58:00+01:00,sell,1.15358,1.15424,1.1516,0.00044,-1.0,SL,128.64,1.29,-1.29,127.35
40,2025-07-29T10:59:00+01:00,sell,1.15331,1.15396,1.15135,0.00044,-1.0,SL,127.35,1.27,-1.27,126.08
41,2025-07-29T11:10:00+01:00,sell,1.15279,1.15353,1.15057,0.00049,-1.0,SL,126.08,1.26,-1.26,124.82
42,2025-07-29T11:38:00+01:00,sell,1.15327,1.15372,1.15191,0.0003,-1.0,SL,124.82,1.25,-1.25,123.57
43,2025-07-29T17:00:00+01:00,sell,1.15247,1.15285,1.15133,0.00025,-1.0,SL,123.57,1.24,-1.24,122.33
44,2025-07-29T17:01:00+01:00,sell,1.15233,1.15272,1.15117,0.00026,-1.0,SL,122.33,1.22,-1.22,121.11
45,2025-07-29T17:10:00+01:00,sell,1.15225,1.15264,1.15109,0.00026,-1.0,SL,121.11,1.21,-1.21,119.9
46,2025-07-29T17:12:00+01:00,sell,1.15216,1.15255,1.15099,0.00026,-1.0,SL,119.9,1.2,-1.2,118.7
47,2025-07-29T17:35:00+01:00,sell,1.15202,1.15239,1.1509,0.00025,-1.0,SL,118.7,1.19,-1.19,117.51
48,2025-07-30T10:03:00+01:00,sell,1.15446,1.1547,1.15373,0.00016,-1.0,SL,117.51,1.18,-1.18,116.34
49,2025-07-30T10:04:00+01:00,sell,1.15409,1.15437,1.15326,0.00018,-1.0,SL,116.34,1.16,-1.16,115.17
50,2025-07-30T10:05:00+01:00,sell,1.15413,1.15441,1.15328,0.00019,-1.0,SL,115.17,1.15,-1.15,114.02
51,2025-07-30T14:36:00+01:00,sell,1.15386,1.15407,1.15323,0.00014,3.0,TP,114.02,1.14,3.42,117.44
52,2025-07-30T14:37:00+01:00,sell,1.15361,1.15384,1.15291,0.00016,-1.0,SL,117.44,1.17,-1.17,116.27
53,2025-07-30T14:38:00+01:00,sell,1.1533,1.15355,1.15254,0.00017,-1.0,SL,116.27,1.16,-1.16,115.11
54,2025-07-30T15:03:00+01:00,sell,1.15375,1.15401,1.15296,0.00018,3.0,TP,115.11,1.15,3.45,118.56
55,2025-07-30T15:07:00+01:00,sell,1.15339,1.15365,1.15262,0.00017,3.0,TP,118.56,1.19,3.56,122.12
56,2025-07-30T15:08:00+01:00,sell,1.15304,1.15332,1.1522,0.00019,-1.0,SL,122.12,1.22,-1.22,120.9
57,2025-07-30T15:09:00+01:00,sell,1.15311,1.15339,1.15226,0.00019,-1.0,SL,120.9,1.21,-1.21,119.69
58,2025-07-30T15:33:00+01:00,sell,1.15269,1.15292,1.15201,0.00015,-1.0,SL,119.69,1.2,-1.2,118.49
59,2025-07-30T15:35:00+01:00,sell,1.15245,1.15269,1.15174,0.00016,-1.0,SL,118.49,1.18,-1.18,117.3
60,2025-07-30T15:36:00+01:00,sell,1.15247,1.15271,1.15174,0.00016,-1.0,SL,117.3,1.17,-1.17,116.13
61,2025-07-30T15:38:00+01:00,sell,1.15217,1.15241,1.15144,0.00016,-1.0,SL,116.13,1.16,-1.16,114.97
62,2025-07-30T16:10:00+01:00,sell,1.15244,1.15273,1.15157,0.00019,3.0,TP,114.97,1.15,3.45,118.42
63,2025-07-30T16:11:00+01:00,sell,1.15247,1.15275,1.15162,0.00019,3.0,TP,118.42,1.18,3.55,121.97
64,2025-07-30T16:13:00+01:00,sell,1.15199,1.1523,1.15107,0.0002,3.0,TP,121.97,1.22,3.66,125.63
65,2025-07-30T16:14:00+01:00,sell,1.1519,1.15221,1.15097,0.00021,3.0,TP,125.63,1.26,3.77,129.4
66,2025-07-30T16:15:00+01:00,sell,1.15156,1.1519,1.15053,0.00023,-1.0,SL,129.4,1.29,-1.29,128.11
67,2025-07-30T16:19:00+01:00,sell,1.15143,1.15181,1.15028,0.00025,-1.0,SL,128.11,1.28,-1.28,126.82
68,2025-07-30T16:30:00+01:00,sell,1.15088,1.15135,1.14946,0.00032,3.0,TP,126.82,1.27,3.8,130.63
69,2025-07-30T16:31:00+01:00,sell,1.15012,1.15065,1.14854,0.00035,3.0,TP,130.63,1.31,3.92,134.55
70,2025-07-30T16:32:00+01:00,sell,1.15008,1.15059,1.14854,0.00034,3.0,TP,134.55,1.35,4.04,138.59
71,2025-07-30T16:33:00+01:00,sell,1.1495,1.15006,1.14781,0.00038,3.0,TP,138.59,1.39,4.16,142.74
72,2025-07-30T16:34:00+01:00,sell,1.14927,1.14989,1.14741,0.00041,3.0,TP,142.74,1.43,4.28,147.02
73,2025-07-30T16:35:00+01:00,sell,1.14888,1.14956,1.14683,0.00046,3.0,TP,147.02,1.47,4.41,151.44
74,2025-07-30T16:36:00+01:00,sell,1.14858,1.14926,1.14653,0.00046,-1.0,SL,151.44,1.51,-1.51,149.92
75,2025-07-30T16:55:00+01:00,sell,1.1477,1.14836,1.14572,0.00044,-1.0,SL,149.92,1.5,-1.5,148.42
76,2025-07-30T16:56:00+01:00,sell,1.14761,1.14826,1.14565,0.00044,-1.0,SL,148.42,1.48,-1.48,146.94
77,2025-07-30T16:57:00+01:00,sell,1.14704,1.14773,1.14496,0.00046,-1.0,SL,146.94,1.47,-1.47,145.47
78,2025-07-30T16:58:00+01:00,sell,1.14696,1.14766,1.14485,0.00047,-1.0,SL,145.47,1.45,-1.45,144.01
79,2025-07-30T17:13:00+01:00,sell,1.14622,1.14688,1.14425,0.00044,-1.0,SL,144.01,1.44,-1.44,142.57
80,2025-07-30T22:49:00+01:00,sell,1.1441,1.14519,1.14082,0.00073,3.0,TP,142.57,1.43,4.28,146.85
81,2025-07-30T22:50:00+01:00,sell,1.14333,1.14443,1.14002,0.00074,0.0,timeout,146.85,1.47,0.0,146.85
82,2025-07-30T22:53:00+01:00,sell,1.14289,1.14401,1.13953,0.00075,0.0,timeout,146.85,1.47,0.0,146.85
83,2025-07-30T23:05:00+01:00,sell,1.14157,1.14258,1.13855,0.00067,-1.0,SL,146.85,1.47,-1.47,145.38
84,2025-07-31T00:20:00+01:00,sell,1.14119,1.14155,1.14011,0.00024,3.0,TP,145.38,1.45,4.36,149.74
85,2025-07-31T00:23:00+01:00,sell,1.14051,1.14094,1.13921,0.00029,-1.0,SL,149.74,1.5,-1.5,148.25
86,2025-07-31T00:56:00+01:00,sell,1.14022,1.1405,1.13937,0.00019,-1.0,SL,148.25,1.48,-1.48,146.76
87,2025-07-31T00:57:00+01:00,sell,1.1402,1.14049,1.13934,0.00019,-1.0,SL,146.76,1.47,-1.47,145.3
88,2025-07-31T00:59:00+01:00,sell,1.14012,1.14042,1.13923,0.0002,-1.0,SL,145.3,1.45,-1.45,143.84
89,2025-07-31T14:24:00+01:00,sell,1.14318,1.14343,1.14242,0.00017,3.0,TP,143.84,1.44,4.32,148.16
90,2025-07-31T14:29:00+01:00,sell,1.14274,1.14301,1.14193,0.00018,-1.0,SL,148.16,1.48,-1.48,146.68
91,2025-07-31T14:30:00+01:00,sell,1.14251,1.1428,1.14164,0.00019,-1.0,SL,146.68,1.47,-1.47,145.21
92,2025-07-31T14:33:00+01:00,sell,1.14236,1.14265,1.1415,0.00019,-1.0,SL,145.21,1.45,-1.45,143.76
93,2025-07-31T14:34:00+01:00,sell,1.14215,1.14245,1.14126,0.0002,-1.0,SL,143.76,1.44,-1.44,142.32
94,2025-07-31T14:36:00+01:00,sell,1.14204,1.14235,1.1411,0.00021,-1.0,SL,142.32,1.42,-1.42,140.9
95,2025-07-31T17:09:00+01:00,sell,1.14141,1.14197,1.13973,0.00037,-1.0,SL,140.9,1.41,-1.41,139.49
96,2025-07-31T17:10:00+01:00,sell,1.14161,1.14217,1.13994,0.00037,-1.0,SL,139.49,1.39,-1.39,138.09
97,2025-07-31T17:17:00+01:00,sell,1.14087,1.14143,1.13919,0.00037,-1.0,SL,138.09,1.38,-1.38,136.71
98,2025-07-31T23:53:00+01:00,sell,1.14197,1.1422,1.14128,0.00015,3.0,TP,136.71,1.37,4.1,140.81
99,2025-07-31T23:54:00+01:00,sell,1.14182,1.14207,1.14108,0.00016,3.0,TP,140.81,1.41,4.22,145.04
100,2025-07-31T23:55:00+01:00,sell,1.14165,1.14191,1.14088,0.00017,-1.0,SL,145.04,1.45,-1.45,143.59
101,2025-07-31T23:56:00+01:00,sell,1.14163,1.14191,1.1408,0.00018,3.0,TP,143.59,1.44,4.31,147.9
102,2025-07-31T23:57:00+01:00,sell,1.14135,1.14165,1.14046,0.0002,-1.0,SL,147.9,1.48,-1.48,146.42
103,2025-07-31T23:58:00+01:00,sell,1.14123,1.14153,1.14033,0.0002,-1.0,SL,146.42,1.46,-1.46,144.95
104,2025-08-01T05:46:00+01:00,sell,1.14077,1.14105,1.13994,0.00018,-1.0,SL,144.95,1.45,-1.45,143.5
105,2025-08-01T05:50:00+01:00,sell,1.14052,1.14081,1.13966,0.00019,-1.0,SL,143.5,1.44,-1.44,142.07
106,2025-08-01T12:44:00+01:00,sell,1.14112,1.14139,1.14031,0.00018,3.0,TP,142.07,1.42,4.26,146.33
107,2025-08-01T12:45:00+01:00,sell,1.14098,1.14125,1.14016,0.00018,3.0,TP,146.33,1.46,4.39,150.72
108,2025-08-01T12:48:00+01:00,sell,1.14084,1.14111,1.14002,0.00018,-1.0,SL,150.72,1.51,-1.51,149.21
109,2025-08-01T12:49:00+01:00,sell,1.14056,1.14085,1.13969,0.00019,-1.0,SL,149.21,1.49,-1.49,147.72
110,2025-08-01T12:50:00+01:00,sell,1.14064,1.14093,1.13977,0.00019,-1.0,SL,147.72,1.48,-1.48,146.24
111,2025-08-01T13:16:00+01:00,sell,1.1407,1.1409,1.14009,0.00014,3.0,TP,146.24,1.46,4.39,150.63
112,2025-08-01T13:17:00+01:00,sell,1.14066,1.14086,1.14005,0.00013,3.0,TP,150.63,1.51,4.52,155.15
113,2025-08-01T13:20:00+01:00,sell,1.14057,1.14076,1.13999,0.00013,3.0,TP,155.15,1.55,4.65,159.8
114,2025-08-01T13:21:00+01:00,sell,1.14055,1.14074,1.13999,0.00012,3.0,TP,159.8,1.6,4.79,164.6
115,2025-08-01T13:22:00+01:00,sell,1.14026,1.14046,1.13965,0.00014,-1.0,SL,164.6,1.65,-1.65,162.95
116,2025-08-01T13:23:00+01:00,sell,1.14031,1.14054,1.13963,0.00015,-1.0,SL,162.95,1.63,-1.63,161.32
117,2025-08-01T13:25:00+01:00,sell,1.14018,1.14041,1.1395,0.00015,-1.0,SL,161.32,1.61,-1.61,159.71
118,2025-08-01T13:45:00+01:00,sell,1.1399,1.14013,1.1392,0.00016,-1.0,SL,159.71,1.6,-1.6,158.11
119,2025-08-01T13:46:00+01:00,sell,1.13956,1.13982,1.13879,0.00017,-1.0,SL,158.11,1.58,-1.58,156.53
120,2025-08-01T13:47:00+01:00,sell,1.13971,1.13998,1.1389,0.00018,-1.0,SL,156.53,1.57,-1.57,154.97
121,2025-08-01T13:48:00+01:00,sell,1.13963,1.1399,1.13883,0.00018,-1.0,SL,154.97,1.55,-1.55,153.42
122,2025-08-01T13:49:00+01:00,sell,1.13931,1.1396,1.13845,0.00019,-1.0,SL,153.42,1.53,-1.53,151.88
123,2025-08-01T13:50:00+01:00,sell,1.13931,1.13959,1.13848,0.00019,-1.0,SL,151.88,1.52,-1.52,150.36
124,2025-08-04T05:00:00+01:00,sell,1.15558,1.15593,1.15452,0.00024,-1.0,SL,150.36,1.5,-1.5,148.86
125,2025-08-04T11:18:00+01:00,sell,1.15633,1.15682,1.15486,0.00033,-1.0,SL,148.86,1.49,-1.49,147.37
126,2025-08-04T11:19:00+01:00,sell,1.15608,1.15658,1.15458,0.00033,-1.0,SL,147.37,1.47,-1.47,145.9
127,2025-08-04T11:20:00+01:00,sell,1.15618,1.15669,1.15466,0.00034,-1.0,SL,145.9,1.46,-1.46,144.44
128,2025-08-04T11:23:00+01:00,sell,1.15589,1.15636,1.15448,0.00031,-1.0,SL,144.44,1.44,-1.44,142.99
129,2025-08-04T11:30:00+01:00,sell,1.15564,1.15607,1.15436,0.00029,-1.0,SL,142.99,1.43,-1.43,141.56
130,2025-08-04T11:32:00+01:00,sell,1.15557,1.15601,1.15426,0.00029,-1.0,SL,141.56,1.42,-1.42,140.15
131,2025-08-04T11:41:00+01:00,sell,1.15529,1.15567,1.15414,0.00026,-1.0,SL,140.15,1.4,-1.4,138.75
132,2025-08-04T11:42:00+01:00,sell,1.1553,1.15569,1.15412,0.00026,-1.0,SL,138.75,1.39,-1.39,137.36
133,2025-08-06T05:17:00+01:00,sell,1.15685,1.15704,1.15628,0.00013,-1.0,SL,137.36,1.37,-1.37,135.99
134,2025-08-06T05:21:00+01:00,sell,1.15669,1.15687,1.15616,0.00012,-1.0,SL,135.99,1.36,-1.36,134.63
135,2025-08-06T05:25:00+01:00,sell,1.15665,1.15684,1.15609,0.00013,-1.0,SL,134.63,1.35,-1.35,133.28
136,2025-08-06T05:26:00+01:00,sell,1.15655,1.15674,1.15597,0.00013,-1.0,SL,133.28,1.33,-1.33,131.95
137,2025-08-06T05:27:00+01:00,sell,1.15651,1.1567,1.15594,0.00013,-1.0,SL,131.95,1.32,-1.32,130.63
138,2025-08-06T17:51:00+01:00,buy,1.16275,1.1624,1.16379,0.00023,-1.0,SL,130.63,1.31,-1.31,129.32
139,2025-08-06T17:55:00+01:00,buy,1.16306,1.1627,1.16414,0.00024,-1.0,SL,129.32,1.29,-1.29,128.03
140,2025-08-06T17:58:00+01:00,buy,1.16332,1.16293,1.16448,0.00026,-1.0,SL,128.03,1.28,-1.28,126.75
141,2025-08-06T17:59:00+01:00,buy,1.16353,1.16314,1.1647,0.00026,-1.0,SL,126.75,1.27,-1.27,125.48
142,2025-08-06T19:06:00+01:00,buy,1.16337,1.16295,1.16462,0.00028,-1.0,SL,125.48,1.25,-1.25,124.23
143,2025-08-06T21:33:00+01:00,buy,1.16513,1.16487,1.16592,0.00018,-1.0,SL,124.23,1.24,-1.24,122.98
144,2025-08-06T21:36:00+01:00,buy,1.16523,1.16498,1.16599,0.00017,-1.0,SL,122.98,1.23,-1.23,121.75
145,2025-08-06T21:38:00+01:00,buy,1.16528,1.16503,1.16603,0.00017,-1.0,SL,121.75,1.22,-1.22,120.54
146,2025-08-06T22:08:00+01:00,buy,1.16552,1.16528,1.16623,0.00016,-1.0,SL,120.54,1.21,-1.21,119.33
147,2025-08-06T22:10:00+01:00,buy,1.16573,1.16549,1.16645,0.00016,-1.0,SL,119.33,1.19,-1.19,118.14
148,2025-08-06T22:26:00+01:00,buy,1.16586,1.16562,1.16659,0.00016,3.0,TP,118.14,1.18,3.54,121.68
149,2025-08-06T22:27:00+01:00,buy,1.16585,1.16562,1.16655,0.00015,3.0,TP,121.68,1.22,3.65,125.33
150,2025-08-06T22:29:00+01:00,buy,1.16603,1.1658,1.16672,0.00015,-1.0,SL,125.33,1.25,-1.25,124.08
151,2025-08-06T22:31:00+01:00,buy,1.16601,1.16577,1.16674,0.00016,3.0,TP,124.08,1.24,3.72,127.8
152,2025-08-06T22:33:00+01:00,buy,1.16628,1.16603,1.16703,0.00017,-1.0,SL,127.8,1.28,-1.28,126.52
153,2025-08-06T22:34:00+01:00,buy,1.16624,1.166,1.16697,0.00016,-1.0,SL,126.52,1.27,-1.27,125.26
154,2025-08-06T22:35:00+01:00,buy,1.16629,1.16605,1.16701,0.00016,-1.0,SL,125.26,1.25,-1.25,124.0
155,2025-08-06T22:41:00+01:00,buy,1.16658,1.16636,1.16725,0.00015,-1.0,SL,124.0,1.24,-1.24,122.76
156,2025-08-06T22:42:00+01:00,buy,1.16668,1.16645,1.16736,0.00015,-1.0,SL,122.76,1.23,-1.23,121.54
157,2025-08-06T22:43:00+01:00,buy,1.16673,1.1665,1.16743,0.00016,-1.0,SL,121.54,1.22,-1.22,120.32
158,2025-08-07T08:02:00+01:00,buy,1.16668,1.16651,1.16719,0.00011,3.0,TP,120.32,1.2,3.61,123.93
159,2025-08-07T08:03:00+01:00,buy,1.1667,1.16653,1.1672,0.00011,3.0,TP,123.93,1.24,3.72,127.65
160,2025-08-07T08:11:00+01:00,buy,1.16713,1.16696,1.16763,0.00011,-1.0,SL,127.65,1.28,-1.28,126.37
161,2025-08-07T08:12:00+01:00,buy,1.16715,1.16698,1.16765,0.00011,-1.0,SL,126.37,1.26,-1.26,125.11
162,2025-08-07T08:26:00+01:00,buy,1.16734,1.16716,1.16789,0.00012,-1.0,SL,125.11,1.25,-1.25,123.86
163,2025-08-07T08:33:00+01:00,buy,1.16749,1.16728,1.16811,0.00014,-1.0,SL,123.86,1.24,-1.24,122.62
164,2025-08-07T08:34:00+01:00,buy,1.16742,1.16721,1.16805,0.00014,-1.0,SL,122.62,1.23,-1.23,121.39
165,2025-08-07T11:37:00+01:00,buy,1.16841,1.16811,1.1693,0.0002,-1.0,SL,121.39,1.21,-1.21,120.18
166,2025-08-07T11:38:00+01:00,buy,1.16854,1.16825,1.16942,0.0002,-1.0,SL,120.18,1.2,-1.2,118.98
167,2025-08-07T11:39:00+01:00,buy,1.16846,1.16817,1.16932,0.00019,-1.0,SL,118.98,1.19,-1.19,117.79
168,2025-08-07T11:47:00+01:00,buy,1.16853,1.16824,1.16941,0.00019,3.0,TP,117.79,1.18,3.53,121.32
169,2025-08-07T11:49:00+01:00,buy,1.16866,1.16837,1.16954,0.00019,3.0,TP,121.32,1.21,3.64,124.96
170,2025-08-07T11:50:00+01:00,buy,1.16878,1.16848,1.16967,0.0002,3.0,TP,124.96,1.25,3.75,128.71
171,2025-08-07T11:51:00+01:00,buy,1.16891,1.16862,1.16979,0.0002,3.0,TP,128.71,1.29,3.86,132.57
172,2025-08-07T12:04:00+01:00,buy,1.16972,1.16937,1.17077,0.00023,-1.0,SL,132.57,1.33,-1.33,131.25
173,2025-08-07T23:31:00+01:00,buy,1.16377,1.16337,1.16497,0.00027,3.0,TP,131.25,1.31,3.94,135.18
174,2025-08-07T23:32:00+01:00,buy,1.16376,1.16333,1.16505,0.00029,3.0,TP,135.18,1.35,4.06,139.24
175,2025-08-07T23:33:00+01:00,buy,1.16382,1.16338,1.16515,0.0003,3.0,TP,139.24,1.39,4.18,143.42
176,2025-08-07T23:34:00+01:00,buy,1.16415,1.16369,1.16553,0.00031,3.0,TP,143.42,1.43,4.3,147.72
177,2025-08-07T23:35:00+01:00,buy,1.16438,1.16392,1.16576,0.00031,3.0,TP,147.72,1.48,4.43,152.15
178,2025-08-07T23:37:00+01:00,buy,1.16475,1.16426,1.16622,0.00033,3.0,TP,152.15,1.52,4.56,156.71
179,2025-08-07T23:44:00+01:00,buy,1.16541,1.16492,1.16688,0.00033,-1.0,SL,156.71,1.57,-1.57,155.15
180,2025-08-08T00:07:00+01:00,buy,1.1662,1.16579,1.16742,0.00027,-1.0,SL,155.15,1.55,-1.55,153.6
181,2025-08-08T00:20:00+01:00,buy,1.16672,1.16639,1.1677,0.00022,-1.0,SL,153.6,1.54,-1.54,152.06
182,2025-08-08T00:29:00+01:00,buy,1.16701,1.16675,1.16779,0.00017,-1.0,SL,152.06,1.52,-1.52,150.54
183,2025-08-08T00:46:00+01:00,buy,1.1669,1.16666,1.16763,0.00016,-1.0,SL,150.54,1.51,-1.51,149.03
184,2025-08-08T02:37:00+01:00,buy,1.1672,1.16705,1.16764,0.0001,-1.0,SL,149.03,1.49,-1.49,147.54
185,2025-08-08T02:38:00+01:00,buy,1.16719,1.16704,1.16763,0.0001,-1.0,SL,147.54,1.48,-1.48,146.07
186,2025-08-08T02:39:00+01:00,buy,1.16731,1.16716,1.16776,0.0001,-1.0,SL,146.07,1.46,-1.46,144.61
187,2025-08-08T02:40:00+01:00,buy,1.16734,1.16719,1.16779,0.0001,-1.0,SL,144.61,1.45,-1.45,143.16
188,2025-08-08T03:11:00+01:00,buy,1.16742,1.16726,1.16789,0.0001,-1.0,SL,143.16,1.43,-1.43,141.73
189,2025-08-08T03:12:00+01:00,buy,1.16742,1.16726,1.1679,0.00011,-1.0,SL,141.73,1.42,-1.42,140.31
190,2025-08-08T03:16:00+01:00,buy,1.16752,1.16735,1.16804,0.00012,-1.0,SL,140.31,1.4,-1.4,138.91
191,2025-08-08T03:25:00+01:00,buy,1.16768,1.16753,1.16814,0.0001,-1.0,SL,138.91,1.39,-1.39,137.52
192,2025-08-08T03:26:00+01:00,buy,1.16774,1.16759,1.1682,0.0001,-1.0,SL,137.52,1.38,-1.38,136.14
193,2025-08-08T18:06:00+01:00,buy,1.16563,1.16529,1.16665,0.00023,-1.0,SL,136.14,1.36,-1.36,134.78
194,2025-08-08T18:08:00+01:00,buy,1.16583,1.16548,1.16688,0.00023,-1.0,SL,134.78,1.35,-1.35,133.44
195,2025-08-08T18:23:00+01:00,buy,1.16613,1.1658,1.16711,0.00022,-1.0,SL,133.44,1.33,-1.33,132.1
196,2025-08-08T19:16:00+01:00,buy,1.16622,1.16596,1.16701,0.00017,-1.0,SL,132.1,1.32,-1.32,130.78
197,2025-08-12T00:21:00+01:00,buy,1.1611,1.16098,1.16145,8e-05,3.0,TP,130.78,1.31,3.92,134.7
198,2025-08-12T00:23:00+01:00,buy,1.16126,1.16113,1.16164,8e-05,3.0,TP,134.7,1.35,4.04,138.74
199,2025-08-12T00:25:00+01:00,buy,1.16151,1.16136,1.16195,0.0001,-1.0,SL,138.74,1.39,-1.39,137.36
200,2025-08-12T00:26:00+01:00,buy,1.16154,1.16138,1.16201,0.0001,-1.0,SL,137.36,1.37,-1.37,135.98
201,2025-08-12T05:34:00+01:00,buy,1.16172,1.16154,1.16225,0.00012,3.0,TP,135.98,1.36,4.08,140.06
202,2025-08-12T05:35:00+01:00,buy,1.16189,1.1617,1.16246,0.00013,3.0,TP,140.06,1.4,4.2,144.26
203,2025-08-12T05:38:00+01:00,buy,1.16221,1.16201,1.1628,0.00013,-1.0,SL,144.26,1.44,-1.44,142.82
204,2025-08-12T05:39:00+01:00,buy,1.16224,1.16204,1.16283,0.00013,-1.0,SL,142.82,1.43,-1.43,141.39
205,2025-08-12T05:40:00+01:00,buy,1.16222,1.16202,1.16283,0.00014,-1.0,SL,141.39,1.41,-1.41,139.98
206,2025-08-12T05:43:00+01:00,buy,1.16246,1.16226,1.16306,0.00013,-1.0,SL,139.98,1.4,-1.4,138.58
207,2025-08-12T08:51:00+01:00,buy,1.16254,1.16238,1.16302,0.00011,-1.0,SL,138.58,1.39,-1.39,137.19
208,2025-08-12T08:52:00+01:00,buy,1.16258,1.16242,1.16305,0.0001,-1.0,SL,137.19,1.37,-1.37,135.82
209,2025-08-12T08:59:00+01:00,buy,1.16271,1.16257,1.16313,9e-05,-1.0,SL,135.82,1.36,-1.36,134.46
210,2025-08-12T09:00:00+01:00,buy,1.16278,1.16264,1.16321,0.0001,-1.0,SL,134.46,1.34,-1.34,133.12
211,2025-08-12T16:30:00+01:00,buy,1.16271,1.16192,1.16508,0.00053,3.0,TP,133.12,1.33,3.99,137.11
212,2025-08-12T16:31:00+01:00,buy,1.16405,1.16312,1.16685,0.00062,-1.0,SL,137.11,1.37,-1.37,135.74
213,2025-08-12T16:32:00+01:00,buy,1.16355,1.16254,1.16657,0.00067,-1.0,SL,135.74,1.36,-1.36,134.38
214,2025-08-12T16:34:00+01:00,buy,1.16403,1.16292,1.16735,0.00074,-1.0,SL,134.38,1.34,-1.34,133.04
215,2025-08-12T16:39:00+01:00,buy,1.16469,1.16347,1.16835,0.00081,-1.0,SL,133.04,1.33,-1.33,131.71
216,2025-08-12T16:41:00+01:00,buy,1.16549,1.16427,1.16915,0.00081,-1.0,SL,131.71,1.32,-1.32,130.39
217,2025-08-12T16:42:00+01:00,buy,1.16541,1.1642,1.16903,0.0008,-1.0,SL,130.39,1.3,-1.3,129.09
218,2025-08-12T17:44:00+01:00,buy,1.16594,1.16512,1.1684,0.00055,-1.0,SL,129.09,1.29,-1.29,127.8
219,2025-08-12T17:45:00+01:00,buy,1.16518,1.16422,1.16806,0.00064,-1.0,SL,127.8,1.28,-1.28,126.52
220,2025-08-12T17:46:00+01:00,buy,1.16584,1.16482,1.16889,0.00068,-1.0,SL,126.52,1.27,-1.27,125.26
221,2025-08-12T17:55:00+01:00,buy,1.16503,1.164,1.16813,0.00069,3.0,TP,125.26,1.25,3.76,129.01
222,2025-08-12T18:00:00+01:00,buy,1.16549,1.16457,1.16826,0.00062,-1.0,SL,129.01,1.29,-1.29,127.72
223,2025-08-12T19:24:00+01:00,buy,1.16726,1.16693,1.16825,0.00022,3.0,TP,127.72,1.28,3.83,131.55
224,2025-08-12T19:26:00+01:00,buy,1.16766,1.16732,1.16869,0.00023,3.0,TP,131.55,1.32,3.95,135.5
225,2025-08-12T19:27:00+01:00,buy,1.16832,1.16792,1.16951,0.00026,-1.0,SL,135.5,1.36,-1.36,134.15
226,2025-08-12T19:28:00+01:00,buy,1.16853,1.16812,1.16976,0.00027,-1.0,SL,134.15,1.34,-1.34,132.8
227,2025-08-12T19:29:00+01:00,buy,1.16849,1.16806,1.16977,0.00028,-1.0,SL,132.8,1.33,-1.33,131.48
228,2025-08-12T19:30:00+01:00,buy,1.16866,1.16821,1.17001,0.0003,-1.0,SL,131.48,1.31,-1.31,130.16
229,2025-08-12T19:40:00+01:00,buy,1.16916,1.16864,1.17073,0.00035,-1.0,SL,130.16,1.3,-1.3,128.86
230,2025-08-13T03:43:00+01:00,buy,1.1678,1.16771,1.16807,6e-05,-1.0,SL,128.86,1.29,-1.29,127.57
231,2025-08-13T03:44:00+01:00,buy,1.16785,1.16776,1.16813,6e-05,-1.0,SL,127.57,1.28,-1.28,126.3
232,2025-08-13T04:00:00+01:00,buy,1.1678,1.1677,1.16811,7e-05,-1.0,SL,126.3,1.26,-1.26,125.03
233,2025-08-13T04:01:00+01:00,buy,1.16778,1.16767,1.16811,7e-05,-1.0,SL,125.03,1.25,-1.25,123.78
234,2025-08-13T04:03:00+01:00,buy,1.16778,1.16765,1.16818,9e-05,-1.0,SL,123.78,1.24,-1.24,122.54
235,2025-08-13T04:54:00+01:00,buy,1.1679,1.16775,1.16835,0.0001,-1.0,SL,122.54,1.23,-1.23,121.32
236,2025-08-13T04:55:00+01:00,buy,1.16782,1.16765,1.16832,0.00011,3.0,TP,121.32,1.21,3.64,124.96
237,2025-08-13T04:58:00+01:00,buy,1.168,1.16783,1.1685,0.00011,3.0,TP,124.96,1.25,3.75,128.71
238,2025-08-13T05:00:00+01:00,buy,1.16804,1.16787,1.16854,0.00011,3.0,TP,128.71,1.29,3.86,132.57
239,2025-08-13T05:01:00+01:00,buy,1.16829,1.1681,1.16885,0.00012,-1.0,SL,132.57,1.33,-1.33,131.24
240,2025-08-13T05:02:00+01:00,buy,1.16835,1.16817,1.1689,0.00012,-1.0,SL,131.24,1.31,-1.31,129.93
241,2025-08-13T05:43:00+01:00,buy,1.16807,1.16788,1.16865,0.00013,-1.0,SL,129.93,1.3,-1.3,128.63
242,2025-08-13T05:44:00+01:00,buy,1.16811,1.16792,1.16869,0.00013,-1.0,SL,128.63,1.29,-1.29,127.35
243,2025-08-13T07:33:00+01:00,buy,1.16836,1.16823,1.16875,9e-05,-1.0,SL,127.35,1.27,-1.27,126.07
244,2025-08-13T07:37:00+01:00,buy,1.16851,1.16836,1.16895,0.0001,-1.0,SL,126.07,1.26,-1.26,124.81
245,2025-08-13T07:39:00+01:00,buy,1.16854,1.1684,1.16896,9e-05,-1.0,SL,124.81,1.25,-1.25,123.56
246,2025-08-13T07:44:00+01:00,buy,1.1686,1.16846,1.16902,9e-05,-1.0,SL,123.56,1.24,-1.24,122.33
247,2025-08-13T10:38:00+01:00,buy,1.16905,1.16878,1.16987,0.00018,3.0,TP,122.33,1.22,3.67,126.0
